PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
S	Wang, WQ; Han, ZC		Birbrair, A		Wang, Weiqiang; Han, Zhong Chao			Heterogeneity of Human Mesenchymal Stromal/Stem Cells	STEM CELLS HETEROGENEITY - NOVEL CONCEPTS	Advances in Experimental Medicine and Biology											Increasing evidence has shown that mesenchymal stem cells (MSCs) isolated from body tissues are heterogeneous while being examined in vitro and in vivo. Besides some common characteristics, MSCs derived from different tissues exhibit unique biological properties. In addition, the therapeutic effects of MSCs may vary widely due to their heterogeneity and the technical differences in large-scale ex vivo expansion. In this chapter, the heterogeneity of MSCs will be discussed in three levels: the individual donors, the tissue sources, and the cell surface markers.																	0065-2598	2214-8019	978-3-030-11096-3; 978-3-030-11095-6				2019	1123						165	177		10.1007/978-3-030-11096-3_10	10.1007/978-3-030-11096-3						WOS:000471743600011	31016600					
J	Phinney, DG				Phinney, Donald G.			Functional heterogeneity of mesenchymal stem cells: Implications for cell therapy	JOURNAL OF CELLULAR BIOCHEMISTRY												The term mesenchymal stem cell (MSCs) was adopted in the 1990s to describe a population of bone-marrow-derived cells that demonstrated the capacity for tri-lineage differentiation at a clonal level. Research conducted during the ensuing decades has demonstrated that MSCs fulfill many functions in addition to connective tissue progenitors including contributing to the HSC niche and regulating the function of immune effector cells of both the innate and adaptive immune system. Despite these advances, fundamental aspects of MSC biology remain indeterminate. For example, the embryonic origin of MSCs and their niche in vivo remains a highly debated topic. More importantly, the mechanisms that regulate self-renewal and lineage specification have also been largely unexplored. The later is significant in that MSC population's exhibit considerable donor-to-donor and intra-population heterogeneity but knowledge regarding how different functional attributes of MSCs are specified at the population level is unknown. This poses significant obstacles in research and in efforts to develop clinical manufacturing protocols that reproducibly generate functionally equivalent MSC populations. Herein, I discuss data demonstrating that MSC populations are intrinsically heterogeneous, elaborate on the molecular basis for this heterogeneity, and discuss how heterogeneity impacts clinical manufacturing and the therapeutic potency of MSCs. J. Cell. Biochem. 113: 28062812, 2012. (C) 2012 Wiley Periodicals, Inc.				Phinney, Donald G/D-2155-2014	Phinney, Donald/0000-0002-8688-2619												0730-2312	1097-4644				SEP	2012	113	9					2806	2812		10.1002/jcb.24166							WOS:000306292700002	22511358					
J	Xie, JY; Lou, Q; Zeng, YX; Liang, YY; Xie, SY; Xu, QH; Yuan, LS; Wang, J; Jiang, LJ; Mou, LS; Lin, DJ; Zhao, M				Xie, Jiayi; Lou, Qi; Zeng, Yunxin; Liang, Yingying; Xie, Siyu; Xu, Quanhui; Yuan, Lisha; Wang, Jin; Jiang, Linjia; Mou, Lisha; Lin, Dongjun; Zhao, Meng			Single-Cell Atlas Reveals Fatty Acid Metabolites Regulate the Functional Heterogeneity of Mesenchymal Stem Cells	FRONTIERS IN CELL AND DEVELOPMENTAL BIOLOGY												Bone marrow mesenchymal stem cells (MSCs) are widely used clinically due to their versatile roles in multipotency, immunomodulation, and hematopoietic stem cell (HSC) niche function. However, cellular heterogeneity limits MSCs in the consistency and efficacy of their clinical applications. Metabolism regulates stem cell function and fate decision; however, how metabolites regulate the functional heterogeneity of MSCs remains elusive. Here, using single-cell RNA sequencing, we discovered that fatty acid pathways are involved in the regulation of lineage commitment and functional heterogeneity of MSCs. Functional assays showed that a fatty acid metabolite, butyrate, suppressed the self-renewal, adipogenesis, and osteogenesis differentiation potential of MSCs with increased apoptosis. Conversely, butyrate supplement significantly promoted HSC niche factor expression in MSCs, which suggests that butyrate supplement may provide a therapeutic approach to enhance their HSC niche function. Overall, our work demonstrates that metabolites are essential to regulate the functional heterogeneity of MSCs.				Mou, Lisha/I-4739-2012	Mou, Lisha/0000-0001-6232-8341												2296-634X					APR 12	2021	9								653308	10.3389/fcell.2021.653308							WOS:000643941400001	33912565					
J	Tripathy, NK; Rizvi, SHM; Singh, SP; Garikpati, VNS; Nityanand, S				Tripathy, N. K.; Rizvi, S. H. M.; Singh, S. P.; Garikpati, V. N. S.; Nityanand, S.			Cardiomyogenic Heterogeneity of Clonal Subpopulations of Human Bone Marrow Mesenchymal Stem Cells	JOURNAL OF STEM CELLS & REGENERATIVE MEDICINE												We have evaluated the cardiomyogenic potential clonal populations of human bone marrow mesenchymal;stem cells (BM-MSC). Four rapidly proliferating clones of BM-MSC were obtained from the BM of a healthy donor which were then treated with 5-azacytidine and evaluated for the expression of GATA-4, NKx-2.5, FOG-2, TDGF-1, beta-MHC, MEF2D and NPPA genes and cTnT, Desmin and beta-MHC proteins. Of the four clones (i) Clone-1 had high expression of GATA-4 (1.89 fold (p<0.05), Nkx2.5 (2.29 fold; p<0.05), FOG2 (2.76 fold; p<0.05), TDGF1 (6.97 fold, p<0.005), beta MHC (10.22 fold; p<0.005), MEF-2D (1.91 fold; p<0.005) and NPPA (1.65 fold; p<0.005); (ii) clone-2 had up-regulation of Nkx2.5 (1.98 fold; p<0.05) but down-regulation of rest of the genes; (iii) clone-3 had up-regulation of Nkx2.5 (2.11 fold; p<0.05), TDGF1 (1.88 fold; p<0.05), MEF-2D (1.30 fold; p<0.05) and NPPA (1.21 fold; p<0,05), down regulation of GATA-4 and Fog-2 but no change in beta MHC gene; and (iv) clone-4 had up-regulation of MEF-2D (1.17 fold; p<0.05) and down regulation of GATA-4, Nkx2.5 but no change in other genes compared to untreated cells of the clones. At the protein level clone-1 expressed cTnT, Desmin, and beta MHC; clone-2 Desmin only while clones-3 and 4 each expressed cTnT, Desmin, and beta MHC. Our data shows that BM-MSC are a heterogenous population of stem cells with sub-populations exhibiting a marked difference in the expression of cardiac markers both at gene and protein levels. This highlights that administering selected sub-populations of BM-MSC with a cardiomyogenic potential may be more efficacious than whole population of cells for cardiac regeneration.				RIZVI, SYED HUSAIN MUSTAFA/H-7282-2019; Tripathy, Naresh Kumar/AAQ-1889-2021	Tripathy, Naresh Kumar/0000-0002-2621-802X												0973-7154						2018	14	1					P27	P33									WOS:000433917500004						
J	Vogel, W; Grunebach, F; Messam, CA; Kanz, L; Brugger, W; Buhring, HJ				Vogel, W; Grunebach, F; Messam, CA; Kanz, L; Brugger, W; Buhring, HJ			Heterogeneity among human bone marrow-derived mesenchymal stem cells and neural progenitor cells	HAEMATOLOGICA												Background and Objectives. Mesenchymal stem cells (MSC) and neural progenitor cells (NPC) are pluripotent cells. The former can give rise to myocytes, chondrocytes, adipocytes, and osteogenic cells, while the latter can give rise to astrocytes, neurons, and oligodendrocytes. The aim of this study was to analyze and compare the antigen expression patterns of MSC and NPC. Design and Methods. Human bone marrow-derived MSC and NPC were analyzed. by flow cytometry and immunocytochemistry using a variety of unique monoclonal antibodies (57D2, W4A5, W8B2) generated in our laboratory. In addition, the expression profile of CD antigens and intracellular differentiation markers was analyzed. Results. We show for the first time that CD10(+), CD13(+), CD61(+), CD90(+), CD105 (endoglin)(+), CD45(-), CD34(-), and CD133(-) MSC also expressed CD109, CD140b (PDGFRB), CD 164, and CD 172a (SIRPalpha). In addition, we found heterogeneity of MSC as demonstrated by the preferential expression of nestin and W8B2 antigen on distinct MSC subpopulations. Morphologically, these populations comprised small single cells and larger cells with polygonal appearance. NPC expressed high levels of CD56, CD90 and nestin and moderate levels of CD15, W4A5, and 57D2 antigens. In contrast, CD133 and CD172 were found only on NPC subpopulations. Interpretation and Conclusions. Our data demonstrate nestin expression in most NPC as well as in immature MSC subpopulations. MSC and NPC subpopulations can now be distinguished using our novel antibodies W8B2, 57D2, and W4A5.																	0390-6078					FEB	2003	88	2					126	133									WOS:000181037700005	12604402					
J	Hamidouche, Z; Rother, K; Przybilla, J; Krinner, A; Clay, D; Hopp, L; Fabian, C; Stolzing, A; Binder, H; Charbord, P; Galle, J				Hamidouche, Zahia; Rother, Karen; Przybilla, Jens; Krinner, Axel; Clay, Denis; Hopp, Lydia; Fabian, Claire; Stolzing, Alexandra; Binder, Hans; Charbord, Pierre; Galle, Joerg			Bistable Epigenetic States Explain Age-Dependent Decline in Mesenchymal Stem Cell Heterogeneity	STEM CELLS												The molecular mechanisms by which heterogeneity, a major characteristic of stem cells, is achieved are yet unclear. We here study the expression of the membrane stem cell antigen-1 (Sca-1) in mouse bone marrow mesenchymal stem cell (MSC) clones. We show that subpopulations with varying Sca-1 expression profiles regenerate the Sca-1 profile of the mother population within a few days. However, after extensive replication in vitro, the expression profiles shift to lower values and the regeneration time increases. Study of the promoter of Ly delta a unravels that the expression level of Sca-1 is related to the promoter occupancy by the activating histone mark H3K4me3. We demonstrate that these findings can be consistently explained by a computational model that considers positive feedback between promoter H3K4me3 modification and gene transcription. This feedback implicates bistable epigenetic states which the cells occupy with an age-dependent frequency due to persistent histone (de-) modification. Our results provide evidence that MSC heterogeneity, and presumably that of other stem cells, is associated with bistable epigenetic states and suggest that MSCs are subject to permanent state fluctuations.				Stolzing, Alexandra/O-7815-2016; Stolzing, Alexandra/S-4208-2019	Stolzing, Alexandra/0000-0002-2975-5736; Stolzing, Alexandra/0000-0002-2975-5736												1066-5099	1549-4918				MAR	2017	35	3					694	704		10.1002/stem.2514							WOS:000395032700013	27734598					
J	Liu, YJ; Munoz, N; Bunnell, BA; Logan, TM; Ma, T				Liu, Yijun; Munoz, Nathalie; Bunnell, Bruce A.; Logan, Timothy M.; Ma, Teng			Density-Dependent Metabolic Heterogeneity in Human Mesenchymal Stem Cells	STEM CELLS												Human mesenchymal stem cells (hMSCs) are intrinsically heterogeneous and comprise subpopulations that differ in their proliferation, multi-potency, and functional properties, which are commonly demonstrated by culturing hMSCs at different plating densities. The objective of this study was to investigate the metabolic profiles of different subpopulations of hMSC by testing the hypothesis that the clonogenic hMSC subpopulation, which is selectively enriched in clonal density (CD) and low density (LD) culture (10 and 100 cells per square centimeter, respectively), possesses a metabolic phenotype that differs from that of hMSC in medium-or high-density (MD: 1,000 and HD: 3,000 cells per square centimeter, respectively). Cells at CD and LD conditions exhibited elevated expression of CD146 and colony forming unit-fibroblast compared with cells at MD-or HD. Global metabolic profiles revealed by gas chromatography-mass spectrometry of cell extracts showed clear distinction between LD and HD cultures, and density-dependent differences in coupling of glycolysis to the TCA cycle. Metabolic inhibitors revealed density-dependent differences in glycolysis versus oxidative phosphorylation (OXPHOS) for ATP generation, in glutamine metabolism, in the dependence on the pentose phosphate pathway for maintaining cellular redox state, and sensitivity to exogenous reactive oxygen species. We also show that active OXPHOS is not required for proliferation in LD culture but that OXPHOS activity increases senescence in HD culture. Together, the results revealed heterogeneity in hMSC culture exists at the level of primary metabolism. The unique metabolic characteristics of the clonogenic subpopulation suggest a novel approach for optimizing in vitro expansion of hMSCs.				Liu, Yijun/I-2480-2019	Liu, Yijun/0000-0001-6680-6590; Bunnell, Bruce/0000-0001-6196-3722												1066-5099	1549-4918				NOV	2015	33	11					3368	3381		10.1002/stem.2097							WOS:000363265900019	26274841					
J	Wilson, A; Webster, A; Genever, P				Wilson, Alison; Webster, Andrew; Genever, Paul			Nomenclature and heterogeneity: consequences for the use of mesenchymal stem cells in regenerative medicine	REGENERATIVE MEDICINE												Mesenchymal stem cells (MSCs) are in development for many clinical indications, based both on stem' properties (tissue repair or regeneration) and on signaling repertoire (immunomodulatory and anti-inflammatory effects). Potential conflation of MSC properties with those of tissue-derived stromal cells presents difficulties in comparing study outcomes and represents a source of confusion in cell therapy development. Cultured MSCs demonstrate significant heterogeneity in clonogenicity and multi-lineage differentiation potential. However in vivo biology of MSCs includes native functions unrelated to regenerative medicine applications, so do nomenclature and heterogeneity matter? In this perspective we examine some consequences of the nomenclature debate and heterogeneity of MSCs. Regulatory expectations are considered, emphasizing that product development should prioritize detailed characterization of therapeutic cell populations for specific indications.					Wilson, Alison/0000-0002-9438-7802; Genever, Paul/0000-0002-5730-8976												1746-0751	1746-076X				JUN	2019	14	6					595	611		10.2217/rme-2018-0145							WOS:000476992900009	31115266					
J	Chen, YS; Pelekanos, RA; Ellis, RL; Horne, R; Wolvetang, EJ; Fisk, NM				Chen, Yen Shun; Pelekanos, Rebecca A.; Ellis, Rebecca L.; Horne, Rachel; Wolvetang, Ernst J.; Fisk, Nicholas M.			Small Molecule Mesengenic Induction of Human Induced Pluripotent Stem Cells to Generate Mesenchymal Stem/Stromal Cells	STEM CELLS TRANSLATIONAL MEDICINE												The translational potential of mesenchymal stem/stromal cells (MSCs) is limited by their rarity in somatic organs, heterogeneity, and need for harvest by invasive procedures. Induced pluripotent stem cells (iPSCs) could be an advantageous source of MSCs, but attempts to derive MSCs from pluripotent cells have required cumbersome or untranslatable techniques, such as coculture, physical manipulation, sorting, or viral transduction. We devised a single-step method to direct mesengenic differentiation of human embryonic stem cells (ESCs) and iPSCs using a small molecule inhibitor. First, epithelial-like monolayer cells were generated by culturing ESCs/iPSCs in serum-free medium containing the transforming growth factor-beta pathway inhibitor SB431542. After 10 days, iPSCs showed upregulation of mesodermal genes (MSX2, NCAM, HOXA2) and downregulation of pluripotency genes (OCT4, LEFTY1/2). Differentiation was then completed by transferring cells into conventional MSC medium. The resultant development of MSC-like morphology was associated with increased expression of genes, reflecting epithelial-to-mesenchymal transition. Both ESC- and iPSC-derived MSCs exhibited a typical MSC immunophenotype, expressed high levels of vimentin and N-cadherin, and lacked expression of pluripotency markers at the protein level. Robust osteogenic and chondrogenic differentiation was induced in vitro in ES-MSCs and iPS-MSCs, whereas adipogenic differentiation was limited, as reported for primitive fetal MSCs and ES-MSCs derived by other methods. We conclude that treatment with SB431542 in two-dimensional cultures followed by culture-induced epithelial-to-mesenchymal transition leads to rapid and uniform MSC conversion of human pluripotent cells without the need for embryoid body formation or feeder cell coculture, providing a robust, clinically applicable, and efficient system for generating MSCs from human iPSCs. STEM CELLS TRANSLATIONAL MEDICINE 2012;1:83-95				Wolvetang, Ernst jurgen/D-6644-2017; Pelekanos, Rebecca/C-8546-2011; Wolvetang, Ernst J/J-7602-2013; Fisk, Nicholas M/B-2126-2009	Wolvetang, Ernst jurgen/0000-0002-2146-6614; Pelekanos, Rebecca/0000-0002-9463-7381; Fisk, Nicholas M/0000-0003-0031-7975												2157-6564	2157-6580				FEB	2012	1	2					83	95		10.5966/sctm.2011-0022							WOS:000312571400006	23197756					
J	Pevsner-Fischer, M; Levin, S; Zipori, D				Pevsner-Fischer, Meirav; Levin, Sarit; Zipori, Dov			The Origins of Mesenchymal Stromal Cell Heterogeneity	STEM CELL REVIEWS AND REPORTS												Cultured mesenchymal stromal cell (MSC) populations are best characterized by the capacity of some cells within this population to differentiate into mesodermal derivatives such as osteoblasts, chondrocytes and adipocytes. However, this progenitor property is not shared by all cells within the MSC population. Furthermore, MSCs exhibit variability in their phenotypes, including proliferation capacity, expression of cell surface markers and ability to secrete cytokines. These facts raise three major questions: (1) Does the in vitro observed variability reflect the existence of MSC subsets in vivo? (2) What is the molecular basis of the in vitro observed heterogeneity? and (3) What is the biological significance of this variability? This review considers the possibility that the variable nature of MSC populations contributes to the capacity of adult mammalian tissues to adapt to varying microenvironmental demands.																	1550-8943	1558-6804				SEP	2011	7	3					560	568		10.1007/s12015-011-9229-7							WOS:000292835000010	21437576					
